id,type,name,rarity,weight,width,height,stack,value
NULL,misc,Primer,1,0.00496,1,1,100,300
NULL,misc,Gunpowder,1,0.00044,1,2,500,50
NULL,bullet,5.56 AP Bullet,4,0.00992,1,1,60,5000
NULL,bullet,5.56 FMJ Bullet,1,0.00992,1,1,60,750
NULL,bullet,5.56 HP Bullet,2,0.00992,1,1,60,1800
NULL,casing,5.56 Casing,1,0.00469,1,1,30,1000
NULL,bullet,9mm AP Bullet,3,0.00992,1,1,60,4000
NULL,bullet,9mm FMJ Bullet,1,0.00992,1,1,60,400
NULL,bullet,9mm HP Bullet,2,0.00992,1,1,60,1500
NULL,casing,9mm Casing,1,0.00469,1,1,30,750
NULL,bullet,7.62x39 AP Bullet,4,0.00992,1,1,60,3500
NULL,bullet,7.62x39 FMJ Bullet,1,0.00992,1,1,60,525
NULL,bullet,7.62x39 HP Bullet,2,0.00992,1,1,60,1260
NULL,casing,7.62x39 Casing,1,0.00469,1,1,30,500